id,created_at,source,original_text,lang,favorite_count,retweet_count,original_author,hashtags,user_mentions,place,place_coord_boundaries
1.16E+18,Sat Aug 10 22:32:11 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @mkurleto: The 11 Clusters of #Innovation [ #INFOGRAPHICS ] via @wef via @Ronald_vanLoon
 
#ArtificialIntelligence #MachineLearning #Mob…",en,0,2,Justinadigwe,"Innovation, INFOGRAPHICS, ArtificialIntelligence, MachineLearning","mkurleto, wef, Ronald_vanLoon",,
1.16E+18,Sat Aug 10 22:30:34 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @alvinfoo: The future of #Transportation 

#AI #AutonomousVehicles #SmartCities #futureofwork 

@MusicComposer1 @Paula_Piccard @Fabrizio…",en,0,117,rememberbigt,"Transportation, AI, AutonomousVehicles, SmartCities, futureofwork","alvinfoo, MusicComposer1, Paula_Piccard","Arlington, TX",
1.16E+18,Sat Aug 10 22:29:15 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @roboton_io: Bruno C. has hopped over Nick and moved into second place, threatening 8ruce's first spot. https://t.co/Pa9r16KRqP
#edtech…",en,0,1,kbruneel,edtech,roboton_io,"Brussels, Belgium",
1.16E+18,Sat Aug 10 22:29:08 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @WSWMUC: #5G technology will radically make #driverless cars more efficient

🚘 V2X communication
 🔺 V2V: Vehicle 2 Vehicle
 🔺 V2I: Vehic…",en,0,4,ohirojude,"5G, driverless",WSWMUC,Nigeria,
1.16E+18,Sat Aug 10 22:28:45 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @mvollmer1: Making motorcycles ""smart"" and safer with the help of #AI. Via @seeker #AI #transportation #AutonomousVehicles @Paula_Piccar…",en,0,107,MrZebas,"AI, AI, transportation, AutonomousVehicles","mvollmer1, Seeker",Argentina,
1.16E+18,Sat Aug 10 22:28:26 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Bruno C. has hopped over Nick and moved into second place, threatening 8ruce's first spot. https://t.co/Pa9r16KRqP
#edtech #games4ed #AutonomousVehicles #linefollower",en,3,1,roboton_io,"edtech, games4ed, AutonomousVehicles, linefollower",,,
1.16E+18,Sat Aug 10 22:28:08 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @marcusborba: You can test Self-Driving Cars without actually hitting the streets
by @Seeker
 
#SelfDrivingCars #ArtificialIntelligence…",en,0,12,NewsNeus,"SelfDrivingCars, ArtificialIntelligence","marcusborba, Seeker","Bad Wildbad, Deutschland",
1.16E+18,Sat Aug 10 22:24:29 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","You can test Self-Driving Cars without actually hitting the streets
by @Seeker
 
#SelfDrivingCars #ArtificialIntelligence #AR #MachineLearning #Sensors #AI #AugmentedReality #IoT #AutonomousVehicles https://t.co/mQLph3F4o6",en,13,12,marcusborba,"SelfDrivingCars, ArtificialIntelligence, AR, MachineLearning, Sensors, AI, AugmentedReality, IoT, AutonomousVehicles",Seeker,,
1.16E+18,Sat Aug 10 22:22:50 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @technophobiapod: Hi #technophobes! We’re doing a mailbag, and need your questions on #AI, #VR, #SelfDrivingCars, #robots, and anything…",en,0,2,TayVanPodMan,"technophobes, AI, VR, SelfDrivingCars, robots",technophobiapod,,
1.16E+18,Sat Aug 10 22:18:41 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @mvollmer1: Making motorcycles ""smart"" and safer with the help of #AI. Via @seeker #AI #transportation #AutonomousVehicles @Paula_Piccar…",en,0,107,WHDuan,"AI, AI, transportation, AutonomousVehicles","mvollmer1, Seeker","Clayton, VIC",
1.16E+18,Sat Aug 10 22:16:24 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @EnwayTech: We are becoming a part of the mobility community of the @TheDriveryGmbH! Looking forward to share the vision of a better fut…,en,0,2,IMPadilla,,"EnwayTech, TheDriveryGmbH",,
1.16E+18,Sat Aug 10 22:14:09 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Ronald_vanLoon: Using #AI  to prevent road accidents before they happen
by @SamsaraHQ |

#ArtificialIntelligence #InternetofThings #IoT…",en,0,75,WHDuan,"AI, ArtificialIntelligence, InternetofThings, IoT","Ronald_vanLoon, SamsaraHQ","Clayton, VIC",
1.16E+18,Sat Aug 10 22:05:44 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @mvollmer1: Making motorcycles ""smart"" and safer with the help of #AI. Via @seeker #AI #transportation #AutonomousVehicles @Paula_Piccar…",en,0,107,Olataytay,"AI, AI, transportation, AutonomousVehicles","mvollmer1, Seeker",Home,
1.16E+18,Sat Aug 10 22:00:35 +0000 2019,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","#IoT, #DataSecurity, #Cloud, #Cibersecurity, #BigData, #Analytics, #InternetofThings, #SmartCities, #AI,#SmartHome,#DigitalTransformation,#5G , Consumers warming to #autonomousvehicles, per #DriversEd study, reports #TanyaGazdik https://t.co/h1lEs62gIh",en,0,0,team_iot,"IoT, DataSecurity, Cloud, Cibersecurity, BigData, Analytics, InternetofThings, SmartCities, AI, SmartHome, DigitalTransformation, 5G, autonomousvehicles, DriversEd, TanyaGazdik",,"Madrid, Comunidad de Madrid",
1.16E+18,Sat Aug 10 21:55:00 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @alvinfoo: The future of #Transportation 

#AI #AutonomousVehicles #SmartCities #futureofwork 

@MusicComposer1 @Paula_Piccard @Fabrizio…",en,0,117,imankit0503,"Transportation, AI, AutonomousVehicles, SmartCities, futureofwork","alvinfoo, MusicComposer1, Paula_Piccard","Patna, India",
1.16E+18,Sat Aug 10 21:46:45 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @SpirosMargaris: Why #Tesla has a huge incentive to deploy #selfdriving tech. 

But is the world ready? 

https://t.co/Om7to9OCy2 #finte…",en,0,10,permanentfuture,"Tesla, selfdriving",SpirosMargaris,Worldwide,
1.16E+18,Sat Aug 10 21:46:36 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @JeroenBartelse: Sleek self-driving pods aren't here, but autonomous cars have already come a long way https://t.co/kt2Oh0B0lm 
via @Mas…",en,0,4,permanentfuture,,JeroenBartelse,Worldwide,
1.16E+18,Sat Aug 10 21:46:32 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @JeroenBartelse: Self-driving cars, robotic surgeries; the future 5G promises — internet connections so fast they'll support an entirely…",en,0,42,permanentfuture,,JeroenBartelse,Worldwide,
1.16E+18,Sat Aug 10 21:41:37 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Daimler: .@BMWGroup and Daimler cooperate on the future of #selfdrivingcars.

▶ Initial goal: to develop technologies for driver assist…",en,0,27,48kbwckjIdLX6Cm,selfdrivingcars,"Daimler, BMWGroup",,
1.16E+18,Sat Aug 10 21:40:51 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ipfconline1: [#DeepLearning]
Reinforcement Learning Explained: Overview, Comparisons and Applications in Business
https://t.co/2isi4dz4…",en,0,14,SSXman2,DeepLearning,ipfconline1,"Benin-City, Nigeria",
1.16E+18,Sat Aug 10 21:39:52 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @mvollmer1: Testing #ArtificialIntelligence of #autonomousvehicles in artificial environment. Via @seeker #AI #IoT 
@pascal_bornet @Hein…",en,0,57,SocieteAlliance,"ArtificialIntelligence, autonomousvehicles, AI, IoT","mvollmer1, Seeker, pascal_bornet","Sydney, New South Wales",
1.16E+18,Sat Aug 10 21:38:22 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Daimler: In the future, #selfdrivingcars are likely to result in a rapid increase in the number of cases of Kinetosis. That's the exper…",en,0,11,48kbwckjIdLX6Cm,selfdrivingcars,Daimler,,
1.16E+18,Sat Aug 10 21:38:03 +0000 2019,"<a href=""https://fortunetindia.com"" rel=""nofollow"">KeysSmCt</a>","RT @guidaautonoma: #Waymo found inspiration in #airports for its #Arizona #selfdriving car hub

https://t.co/5ZFRs6krJb
#autonomous #SmartC…",en,0,4,SmartCitiesFeed,"Waymo, airports, Arizona, selfdriving, autonomous",guidaautonoma,Internet,
1.16E+18,Sat Aug 10 21:36:40 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ipfconline1: Bringing Human-Like Reasoning to Driverless Car Navigation

https://t.co/oVZMaFFVTq v/ @MIT @MIT_CSAIL HT @pierrepinna
#Se…",en,0,5,SSXman2,,"ipfconline1, MIT, MIT_CSAIL, pierrepinna","Benin-City, Nigeria",
1.16E+18,Sat Aug 10 21:35:46 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @evankirstel: 🚜 Not your grandfather’s tractor #ai #AutonomousVehicles #AgTech #farming #agriculture   https://t.co/Sd7Hz4j2um,en,0,76,guillermoscipio,"ai, AutonomousVehicles, AgTech, farming, agriculture",evankirstel,,
1.16E+18,Sat Aug 10 21:34:33 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @mvollmer1: Making motorcycles ""smart"" and safer with the help of #AI. Via @seeker #AI #transportation #AutonomousVehicles @Paula_Piccar…",en,0,107,HuseyinTolu,"AI, AI, transportation, AutonomousVehicles","mvollmer1, Seeker",,
1.16E+18,Sat Aug 10 21:29:12 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @mvollmer1: Making motorcycles ""smart"" and safer with the help of #AI. Via @seeker #AI #transportation #AutonomousVehicles @Paula_Piccar…",en,0,107,JavaGabber,"AI, AI, transportation, AutonomousVehicles","mvollmer1, Seeker","BC, Canada",
1.16E+18,Sat Aug 10 21:26:43 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @guidaautonoma: #Waymo found inspiration in #airports for its #Arizona #selfdriving car hub

https://t.co/5ZFRs6krJb
#autonomous #SmartC…",en,0,4,nblais75,"Waymo, airports, Arizona, selfdriving, autonomous",guidaautonoma,,
